benchmark,profile,family,generated_count,valid_count,invalid_count,duplicate_count,admitted_count,not_admitted_count,scored_count,skipped_budget_count,scored_pool_selectable_count,selected_count,selected_via_fallback_count,best_official_cost,best_official_delta_vs_final,median_official_cost,median_official_delta_vs_final,num_beating_final,num_near_tie,best_candidate_name,worst_official_cost,worst_candidate_name,legalized_count,legalization_failed_count,duplicate_after_legalization_count,raw_legalized_rate,adjusted_legalized_rate
ibm01,m4b-default,m3a_pair_refinement,384,40,344,0,349,35,5,0,5,0,0,1.0384329557418823,1.1920928955078125e-05,1.0384849309921265,6.389617919921875e-05,0,0,m3a_p0_0_166_centroid_shift,1.041245460510254,m3a_p5_9_42_right,0,0,0,0.0,0.0
ibm01,m4b-default,m3b_cluster_refinement,96,1,95,0,96,0,1,0,1,1,0,1.0384210348129272,0.0,1.0384210348129272,0.0,0,1,m3b_c30_0_52_166_centroid_shift,1.0384210348129272,m3b_c30_0_52_166_centroid_shift,0,0,0,0.0,0.0
ibm01,m4b-default,m4b_region_repair,130,130,0,0,20,110,20,0,20,0,0,1.038587212562561,0.00016617774963378906,1.0391156673431396,0.0006946325302124023,0,0,m4b_r0_m9_m105_centroid_shift,1.0422663688659668,m4b_r1_m24_m75_spread,130,0,0,1.0,1.0
ibm01,m4b-default,original,2,2,0,1,2,0,1,0,1,0,0,1.0384976863861084,7.665157318115234e-05,1.0384976863861084,7.665157318115234e-05,0,0,original_raw,1.0384976863861084,original_raw,0,0,0,0.0,0.0
ibm01,m4b-default,original_line_search,20,20,0,6,20,0,6,1,6,0,0,1.03843092918396,9.894371032714844e-06,1.0890300869941711,0.050609052181243896,0,1,original_line_search_m215_scale2p5x,1.1407935619354248,original_line_search_m22_scale2x,0,0,0,0.0,0.0
ibm01,m4b-default,original_neighborhood,78,78,0,0,78,0,25,27,25,0,0,1.038459300994873,3.826618194580078e-05,1.1407721042633057,0.10235106945037842,0,0,original_neighborhood_m215_left_s,1.172485589981079,original_neighborhood_m243_toward_centroid,0,0,0,0.0,0.0
ibm01,m4b-default,original_refinement,150,150,0,21,150,0,18,108,18,0,0,1.038435459136963,1.4424324035644531e-05,1.1304364204406738,0.09201538562774658,0,0,original_refinement_m215_scale2x,1.1724739074707031,original_refinement_combo2_m54_m243,0,0,0,0.0,0.0
ibm02,m4b-default,m3a_pair_refinement,384,37,347,0,352,32,5,0,5,0,0,1.5581345558166504,0.003267526626586914,1.558417797088623,0.0035507678985595703,0,0,m3a_p12_238_256_centroid_shift,1.5585545301437378,m3a_p6_120_204_below,0,0,0,0.0,0.0
ibm02,m4b-default,m3b_cluster_refinement,96,11,85,0,90,6,5,0,5,0,0,1.557626485824585,0.0027594566345214844,1.5582904815673828,0.003423452377319336,0,0,m3b_c18_51_120_256_centroid_shift,1.5651907920837402,m3b_c20_14_120_126_cyclic,0,0,0,0.0,0.0
ibm02,m4b-default,m4b_region_repair,144,139,5,0,20,124,20,0,20,1,0,1.5548670291900635,0.0,1.5574970841407776,0.0026300549507141113,0,1,m4b_r1_m4_m51_spread,1.5729680061340332,m4b_r1_m4_m51_centroid_shift,139,5,0,0.9652777777777778,0.9652777777777778
ibm02,m4b-default,original,2,2,0,1,2,0,1,0,1,0,0,1.5658485889434814,0.010981559753417969,1.5658485889434814,0.010981559753417969,0,0,original_raw,1.5658485889434814,original_raw,0,0,0,0.0,0.0
ibm02,m4b-default,original_line_search,30,30,0,3,30,0,6,1,6,0,0,1.599191665649414,0.044324636459350586,1.6242344975471497,0.06936746835708618,0,0,original_line_search_m122_scale1p5x,1.6517252922058105,original_line_search_m122_scale2x,0,0,0,0.0,0.0
ibm02,m4b-default,original_neighborhood,78,78,0,0,78,0,25,30,25,0,0,1.6077264547348022,0.05285942554473877,1.6356627941131592,0.0807957649230957,0,0,original_neighborhood_m122_right_s,1.663691520690918,original_neighborhood_m51_right_s,0,0,0,0.0,0.0
ibm02,m4b-default,original_refinement,149,149,0,12,149,0,18,119,18,0,0,1.558417558670044,0.0035505294799804688,1.6313661336898804,0.0764991044998169,0,0,original_refinement_m51_tiny0p5um_p0_p1,1.667011022567749,original_refinement_m263_scale2x,0,0,0,0.0,0.0
ibm03,m4b-default,m3a_pair_refinement,384,51,333,0,338,46,5,0,5,0,0,1.325455665588379,1.1801719665527344e-05,1.32613205909729,0.0006881952285766602,0,0,m3a_p16_5_154_swap,1.403315544128418,m3a_p4_86_224_below,0,0,0,0.0,0.0
ibm03,m4b-default,m3b_cluster_refinement,3,0,3,0,3,0,0,0,0,0,0,,,,,0,0,,,,0,0,0,0.0,0.0
ibm03,m4b-default,m4b_region_repair,128,128,0,0,20,108,20,0,20,1,0,1.3254438638687134,0.0,1.325477123260498,3.325939178466797e-05,0,1,m4b_r1_m7_m43_centroid_shift,1.3267594575881958,m4b_r0_m12_m111_centroid_shift,128,0,0,1.0,1.0
ibm03,m4b-default,original,2,2,0,1,2,0,1,0,1,0,0,1.3254859447479248,4.208087921142578e-05,1.3254859447479248,4.208087921142578e-05,0,0,original_raw,1.3254859447479248,original_raw,0,0,0,0.0,0.0
ibm03,m4b-default,original_line_search,20,20,0,2,20,0,4,0,4,0,0,1.3341861963272095,0.008742332458496094,1.340091049671173,0.014647185802459717,0,0,original_line_search_m200_scale1p5x,1.3802170753479004,original_line_search_m224_scale2x,0,0,0,0.0,0.0
ibm03,m4b-default,original_neighborhood,78,78,0,0,78,0,25,31,25,0,0,1.3287794589996338,0.00333559513092041,1.3584473133087158,0.03300344944000244,0,0,original_neighborhood_m200_toward_centroid,1.4129565954208374,original_neighborhood_m240_toward_centroid,0,0,0,0.0,0.0
ibm03,m4b-default,original_refinement,148,148,0,18,148,0,18,96,18,0,0,1.3254570960998535,1.3232231140136719e-05,1.3559412360191345,0.030497372150421143,0,0,original_refinement_m289_tiny0p25um_m1_p0,1.5760338306427002,original_refinement_m240_scale2x,0,0,0,0.0,0.0
